id,category_id,name,price,stock,description,origin
1,1,컴퓨터,2000000,5,렉걸리지 않는 편안함 시몬스,한국
2,1,샤오미 선풍기,130000,20,사물인터넷 스마트홈 사용가능,중국
3,1,gram노트북,1500000,1,gram 노트북 쓰지 gram,한국
4,4,WinRar License,10,10,WinRar Program License,
5,1,갤럭시s20,1240000,10000,사진의 미래를 바꿀 스마트폰,한국
6,2,홈런볼,1234567890,1,세상에 하나 밖에 없다.,좀비아
7,7,RTX3090,1667997,3,지금까지 나온 그래픽카드 중 끝판왕,콩고 공화국
8,1,아이패드 프로,10000000000,50,역대급 성능 미니 콤퓨타,캘리포니아
9,1,갤럭시 노트10,100000,1,팔거없다,한국
10,11,바나나우유,1400,150,맛있는 바나나 우유,한국
11,1,에어컨,799999,10,틀자마자 몸이 얼어버리는 듯한 시원함 그야말로 샘성,한국
12,1,세탁기,1000000,100,세탁 가능,한국
13,1,iPhone12mini,950000,4000,아이폰,독일
14,14,뿌링클,23000,10000,맛있는 뿌링클,한국
15,1,구글 홈 미니,60000,10000,"카카오 미니, 네이버 클로바 제품 같은 구글사 제품",중국
16,1,갤럭시 S10+,1150000,10000,세계 체고의 핸드폰,한국
17,1,카메라,10000,35,사진 찍어주는 기계,한국
18,1,모니터,2000,2,잘보이는 모니터,
19,10,머슬가드 리스트랩,20000,100,운동 손목보호대,한국
20,18,파워에이드,2000,100,저칼로리 스포츠 음료,미국
21,7,USB 멀티허브 5 in 1,25000,500,"USB허브 5 in 1 USB C Type, USB 3.1, SD카드리더기",미국
22,1,에어팟 프로,230000,100,무선이어폰,캘리포니아
23,1,애플워치se,359000,50000,스마트 시계르마늄,캘리포니아
24,1,맥북 프로,1750000,1,알렉산더 리미티드 에디션 ㅋㅋㅋ,캘리포니아
25,16,사신의 날개,1699999999,1,시즌이 끝나버렸다.. MMR 올리고 담시즌에 하면되지,한국
26,2,콩나물국밥,4300,10,"김치콩나물국밥 (1,000원 추가)",짐바브웨
27,21,종호 전화번호,1,1,친구추가해요~  장난전화 tkwjf,010-6432-9328
28,3,휴지 30매입,10000,100,편안한 휴지,
29,1,레노버 노트북,1199000,12345,탁월한 생산성을 위한 최고의 설계,중국
30,19,원피스,9999999999999,1,"돈, 그냥 돈,",일본
31,5,샤넬 가방,2400000,1,명품 가방,프랑스
32,5,롤렉스 시계,5000000,90,엄~청 비싸고 좋은 시계,스위스
33,1,의자,1,1,잘 터짐,중국
34,13,라바돈의 죽음모자,3600,6,당신도 모자쓰면 좋습니다! (그쵸 탈모는 모자써야죠!),상점 주인
35,9,롤 플레 듀오팟,5000,4,<=(판 남음)이번주 금욜이나 주말에 ㄹㅇ 듀랭할사람(골드이상),소환사의 협곡
36,12,유니콘 뿔 지팡이,1000,1,마법가능,호그와트
37,1,iPad Air,779000,1000,아이패드,독일
38,5,구찌 (GUCCI),1000000,3,겁나게 비싼 명품,이탈리아 프로렌스
39,15,RPG-7,8000000,100,몰래 가져온 쑤까산 알라의 요술봉,소련
40,2,복어,120000,99,그냥 먹으면 주거용~~,일본
41,1,아이패드 에어,15000,20,있으면 간지남,미국
42,20,48평 주택,200,150,좋은집,중국
43,20,1.0평 원룸,2350000,1,보증금 200 월 35,한국
44,13,삼위일체,3733,6,가장 비싼 아이템,도란
45,13,얼어붙은 망치 손잡이,900,10,얼어붙은 망치 손잡이 10개 한정 판매 ,상점 주인 주머니
46,6,놓지마정신줄팔찌,5000,1,븥어있는새삥 쿨거 에누리가능합니다.,SMC
47,13,무한의 대검(업글),3400,1,이렇게 싼 가격은 없다.사기니깐...(보너스로  업글),오른
48,8,수표,1000000000,1,비싸다.,WANG
